latitude,longitude,bathrooms,beds,price,cleaning_fee,extra_people,minimum_nights,maximum_nights,availability_30,number_of_reviews,review_scores_rating,review_scores_location,calculated_host_listings_count,days_with_abnb,neighbourhood_cleansed_dAlki,neighbourhood_cleansed_dArbor Heights,neighbourhood_cleansed_dAtlantic,neighbourhood_cleansed_dBelltown,neighbourhood_cleansed_dBitter Lake,neighbourhood_cleansed_dBriarcliff,neighbourhood_cleansed_dBrighton,neighbourhood_cleansed_dBroadview,neighbourhood_cleansed_dBroadway,neighbourhood_cleansed_dBryant,neighbourhood_cleansed_dCedar Park,neighbourhood_cleansed_dCentral Business District,neighbourhood_cleansed_dColumbia City,neighbourhood_cleansed_dCrown Hill,neighbourhood_cleansed_dDunlap,neighbourhood_cleansed_dEast Queen Anne,neighbourhood_cleansed_dEastlake,neighbourhood_cleansed_dFairmount Park,neighbourhood_cleansed_dFauntleroy,neighbourhood_cleansed_dFirst Hill,neighbourhood_cleansed_dFremont,neighbourhood_cleansed_dGatewood,neighbourhood_cleansed_dGenesee,neighbourhood_cleansed_dGeorgetown,neighbourhood_cleansed_dGreen Lake,neighbourhood_cleansed_dGreenwood,neighbourhood_cleansed_dHaller Lake,neighbourhood_cleansed_dHarrison/Denny-Blaine,neighbourhood_cleansed_dHigh Point,neighbourhood_cleansed_dHighland Park,neighbourhood_cleansed_dHolly Park,neighbourhood_cleansed_dIndustrial District,neighbourhood_cleansed_dInterbay,neighbourhood_cleansed_dInternational District,neighbourhood_cleansed_dLaurelhurst,neighbourhood_cleansed_dLawton Park,neighbourhood_cleansed_dLeschi,neighbourhood_cleansed_dLower Queen Anne,neighbourhood_cleansed_dLoyal Heights,neighbourhood_cleansed_dMadison Park,neighbourhood_cleansed_dMadrona,neighbourhood_cleansed_dMann,neighbourhood_cleansed_dMaple Leaf,neighbourhood_cleansed_dMatthews Beach,neighbourhood_cleansed_dMeadowbrook,neighbourhood_cleansed_dMid-Beacon Hill,neighbourhood_cleansed_dMinor,neighbourhood_cleansed_dMontlake,neighbourhood_cleansed_dMount Baker,neighbourhood_cleansed_dNorth Admiral,neighbourhood_cleansed_dNorth Beach/Blue Ridge,neighbourhood_cleansed_dNorth Beacon Hill,neighbourhood_cleansed_dNorth College Park,neighbourhood_cleansed_dNorth Delridge,neighbourhood_cleansed_dNorth Queen Anne,neighbourhood_cleansed_dOlympic Hills,neighbourhood_cleansed_dPhinney Ridge,neighbourhood_cleansed_dPike-Market,neighbourhood_cleansed_dPinehurst,neighbourhood_cleansed_dPioneer Square,neighbourhood_cleansed_dPortage Bay,neighbourhood_cleansed_dRainier Beach,neighbourhood_cleansed_dRavenna,neighbourhood_cleansed_dRiverview,neighbourhood_cleansed_dRoosevelt,neighbourhood_cleansed_dRoxhill,neighbourhood_cleansed_dSeaview,neighbourhood_cleansed_dSeward Park,neighbourhood_cleansed_dSouth Beacon Hill,neighbourhood_cleansed_dSouth Delridge,neighbourhood_cleansed_dSouth Lake Union,neighbourhood_cleansed_dSouth Park,neighbourhood_cleansed_dSoutheast Magnolia,neighbourhood_cleansed_dStevens,neighbourhood_cleansed_dSunset Hill,neighbourhood_cleansed_dUniversity District,neighbourhood_cleansed_dVictory Heights,neighbourhood_cleansed_dView Ridge,neighbourhood_cleansed_dWallingford,neighbourhood_cleansed_dWedgwood,neighbourhood_cleansed_dWest Queen Anne,neighbourhood_cleansed_dWest Woodland,neighbourhood_cleansed_dWestlake,neighbourhood_cleansed_dWhittier Heights,neighbourhood_cleansed_dWindermere,neighbourhood_cleansed_dYesler Terrace,room_type_dPrivate room,room_type_dShared room,bed_type_dCouch,bed_type_dFuton,bed_type_dPull-out Sofa,bed_type_dReal Bed,instant_bookable_dt,require_guest_phone_verification_dt,host_response_time_Imputed_dwithin a day,host_response_time_Imputed_dwithin a few hours,host_response_time_Imputed_dwithin an hour,host_is_superhost_Imputed_dt,host_identity_verified_Imputed_dt,property_type_Imputed_dBed & Breakfast,property_type_Imputed_dBoat,property_type_Imputed_dBungalow,property_type_Imputed_dCabin,property_type_Imputed_dCamper/RV,property_type_Imputed_dChalet,property_type_Imputed_dCondominium,property_type_Imputed_dDorm,property_type_Imputed_dHouse,property_type_Imputed_dLoft,property_type_Imputed_dOther,property_type_Imputed_dTent,property_type_Imputed_dTownhouse,property_type_Imputed_dTreehouse,property_type_Imputed_dYurt
47.63548170841016,-122.35847776162176,1.0,1.0,95.0,15.0,15.0,3,7,0,181,97.0,10.0,1,1933.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
47.63721407513561,-122.36004576141458,1.0,1.0,99.0,150.0,0.0,3,1125,21,8,97.0,10.0,1,1093.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
47.6355455115124,-122.37317075183506,1.0,3.0,245.0,95.0,0.0,3,14,30,13,98.0,10.0,1,509.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.629506809234314,-122.3676292967417,1.0,3.0,165.0,85.0,20.0,2,1125,13,3,100.0,10.0,1,359.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
47.63920265551509,-122.36586274154313,3.5,15.0,461.0,300.0,50.0,3,29,19,18,98.0,10.0,1,451.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
47.63564979343857,-122.37289282480928,1.0,2.0,109.0,89.0,0.0,3,15,30,1,80.0,8.0,1,1265.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
47.626200373817085,-122.36660192617585,1.0,1.0,66.0,35.0,25.0,1,10,29,84,95.0,10.0,1,810.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.64064587578452,-122.37240588895551,1.0,1.0,99.0,15.0,0.0,2,14,29,45,98.0,10.0,1,369.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
47.63977587341085,-122.37223535879995,2.0,1.0,200.0,0.0,0.0,1,1125,0,0,94.53926206244087,9.608915586468543,1,979.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.63602477658138,-122.35869359564735,3.5,5.0,700.0,250.0,0.0,3,30,24,5,85.0,8.0,1,244.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
